                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,,
64,1.5168,1.2841,1.0856,0.50793,0.39199,0.40933,0.24413,1.4153,1.1755,1.0672,0.008866,0.008866,0.008866,,,,,,
65,1.5043,1.2706,1.0829,0.50815,0.39082,0.40644,0.243,1.4175,1.1747,1.0665,0.008848,0.008848,0.008848,,,,,,
66,1.5146,1.2839,1.0832,0.50258,0.39748,0.40818,0.24351,1.4127,1.1706,1.0642,0.00883,0.00883,0.00883,,,,,,
67,1.5137,1.2764,1.0792,0.51104,0.39915,0.41159,0.24565,1.4114,1.1678,1.0636,0.008812,0.008812,0.008812,,,,,,
68,1.5107,1.2767,1.0827,0.49766,0.40082,0.41085,0.2448,1.4122,1.1672,1.0628,0.008794,0.008794,0.008794,,,,,,
69,1.5094,1.2756,1.0825,0.50169,0.40004,0.41184,0.24568,1.4091,1.1656,1.0627,0.008776,0.008776,0.008776,,,,,,
70,1.51,1.2718,1.0817,0.49793,0.39854,0.41207,0.24657,1.4078,1.1635,1.0623,0.008758,0.008758,0.008758,,,,,,
71,1.508,1.2673,1.0802,0.49602,0.40309,0.41325,0.24704,1.4073,1.1606,1.0608,0.00874,0.00874,0.00874,,,,,,
72,1.5082,1.272,1.0791,0.49916,0.40185,0.41328,0.2471,1.4052,1.1603,1.0603,0.008722,0.008722,0.008722,,,,,,
73,1.5062,1.2669,1.0796,0.51429,0.3964,0.41356,0.24768,1.4056,1.1585,1.0603,0.008704,0.008704,0.008704,,,,,,
74,1.5052,1.2618,1.077,0.50417,0.40452,0.41513,0.24816,1.4058,1.158,1.0606,0.008686,0.008686,0.008686,,,,,,
75,1.505,1.2658,1.079,0.51048,0.40078,0.41447,0.24789,1.4042,1.1563,1.0593,0.008668,0.008668,0.008668,,,,,,
76,1.5054,1.2611,1.0777,0.51115,0.39744,0.41457,0.24837,1.4035,1.1534,1.059,0.00865,0.00865,0.00865,,,,,,
77,1.5013,1.2563,1.0778,0.51182,0.39843,0.41631,0.24863,1.4026,1.1522,1.058,0.008632,0.008632,0.008632,,,,,,
78,1.5004,1.2529,1.0736,0.51872,0.39531,0.41775,0.25011,1.4023,1.1493,1.0577,0.008614,0.008614,0.008614,,,,,,
79,1.4944,1.2491,1.0749,0.5116,0.39956,0.41907,0.25063,1.4022,1.1507,1.0581,0.008596,0.008596,0.008596,,,,,,
80,1.4955,1.2509,1.0734,0.50961,0.40494,0.4208,0.2514,1.3988,1.1472,1.0574,0.008578,0.008578,0.008578,,,,,,
81,1.4959,1.252,1.074,0.50377,0.40761,0.41952,0.25128,1.4003,1.1479,1.0577,0.00856,0.00856,0.00856,,,,,,
82,1.4959,1.2468,1.0752,0.51612,0.40025,0.42275,0.25256,1.399,1.1463,1.0569,0.008542,0.008542,0.008542,,,,,,
83,1.4911,1.2428,1.0721,0.51719,0.40421,0.42433,0.25427,1.3983,1.1435,1.0567,0.008524,0.008524,0.008524,,,,,,
84,1.4873,1.2385,1.0705,0.51064,0.40786,0.42401,0.25398,1.3974,1.143,1.0558,0.008506,0.008506,0.008506,,,,,,
85,1.4909,1.2396,1.0729,0.50975,0.40613,0.42416,0.25396,1.3957,1.1418,1.0548,0.008488,0.008488,0.008488,,,,,,
86,1.4912,1.2367,1.0724,0.51539,0.40799,0.4256,0.25514,1.3937,1.1399,1.0543,0.00847,0.00847,0.00847,,,,,,
87,1.4933,1.2389,1.0743,0.51411,0.40548,0.42445,0.25482,1.3938,1.1384,1.0546,0.008452,0.008452,0.008452,,,,,,
88,1.4901,1.2379,1.072,0.51465,0.40902,0.42659,0.2549,1.3921,1.1361,1.0532,0.008434,0.008434,0.008434,,,,,,
89,1.4898,1.2355,1.07,0.51964,0.41101,0.42759,0.25588,1.3922,1.1359,1.053,0.008416,0.008416,0.008416,,,,,,
90,1.4951,1.2424,1.0739,0.52147,0.40973,0.42926,0.25647,1.3922,1.1352,1.0528,0.008398,0.008398,0.008398,,,,,,
91,1.4928,1.2343,1.0695,0.52101,0.40864,0.43005,0.25716,1.3923,1.1336,1.0525,0.00838,0.00838,0.00838,,,,,,
92,1.4809,1.2297,1.0684,0.51394,0.41313,0.42995,0.25718,1.391,1.1315,1.052,0.008362,0.008362,0.008362,,,,,,
93,1.4889,1.2307,1.0691,0.5158,0.41118,0.42951,0.25737,1.3895,1.1307,1.0516,0.008344,0.008344,0.008344,,,,,,
