                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,,,,
112,1.3418,0.97807,1.0793,0.58302,0.48023,0.50577,0.30778,1.3109,0.98903,1.0858,0.0078022,0.0078022,0.0078022,,,,,
113,1.3471,0.97694,1.0732,0.57986,0.48235,0.50653,0.30864,1.3106,0.98827,1.0856,0.0077824,0.0077824,0.0077824,,,,,
114,1.3484,0.97989,1.0803,0.58306,0.48228,0.50683,0.30914,1.3099,0.98762,1.0849,0.0077626,0.0077626,0.0077626,,,,,
115,1.3337,0.97414,1.079,0.58337,0.48358,0.50708,0.30865,1.3096,0.98686,1.0846,0.0077428,0.0077428,0.0077428,,,,,
116,1.3425,0.97343,1.0772,0.58254,0.48296,0.50732,0.30898,1.3094,0.98612,1.0845,0.007723,0.007723,0.007723,,,,,
117,1.3299,0.96592,1.0733,0.58472,0.48181,0.5064,0.30873,1.3089,0.98588,1.0844,0.0077032,0.0077032,0.0077032,,,,,
118,1.3497,0.97537,1.0775,0.58728,0.48132,0.50706,0.30922,1.3086,0.98545,1.0845,0.0076834,0.0076834,0.0076834,,,,,
119,1.3286,0.96821,1.0724,0.58831,0.48032,0.50687,0.3093,1.3085,0.98531,1.0845,0.0076636,0.0076636,0.0076636,,,,,
120,1.3423,0.97186,1.0774,0.58904,0.47938,0.50732,0.30928,1.3082,0.98493,1.0842,0.0076438,0.0076438,0.0076438,,,,,
121,1.3264,0.96024,1.0742,0.58981,0.47784,0.50682,0.30947,1.3079,0.98434,1.084,0.007624,0.007624,0.007624,,,,,
122,1.3262,0.96356,1.0803,0.58747,0.47767,0.50672,0.30962,1.307,0.98378,1.0836,0.0076042,0.0076042,0.0076042,,,,,
123,1.3547,0.97252,1.0781,0.58667,0.47975,0.50774,0.31033,1.3062,0.98327,1.0831,0.0075844,0.0075844,0.0075844,,,,,
124,1.3255,0.95704,1.0701,0.58923,0.48071,0.50886,0.31087,1.3059,0.98243,1.0827,0.0075646,0.0075646,0.0075646,,,,,
125,1.3288,0.96044,1.0733,0.58911,0.47997,0.50887,0.31105,1.3057,0.98184,1.0824,0.0075448,0.0075448,0.0075448,,,,,
126,1.3419,0.96598,1.075,0.59501,0.47582,0.5089,0.3114,1.3052,0.98109,1.0821,0.007525,0.007525,0.007525,,,,,
127,1.3258,0.95758,1.075,0.59458,0.47736,0.50929,0.31183,1.3048,0.98054,1.0819,0.0075052,0.0075052,0.0075052,,,,,
128,1.3294,0.95756,1.0687,0.59421,0.47787,0.50919,0.31182,1.3042,0.97975,1.0815,0.0074854,0.0074854,0.0074854,,,,,
129,1.3352,0.95061,1.0666,0.58947,0.48189,0.50956,0.31181,1.304,0.97904,1.0815,0.0074656,0.0074656,0.0074656,,,,,
130,1.3271,0.95476,1.0735,0.58888,0.48198,0.50929,0.31172,1.3041,0.97843,1.0816,0.0074458,0.0074458,0.0074458,,,,,
131,1.3251,0.95127,1.0699,0.5909,0.48168,0.50952,0.3116,1.3039,0.97766,1.0813,0.007426,0.007426,0.007426,,,,,
132,1.325,0.9466,1.0732,0.58835,0.48268,0.50994,0.31165,1.3041,0.97733,1.0814,0.0074062,0.0074062,0.0074062,,,,,
133,1.3253,0.95793,1.076,0.58464,0.48461,0.51012,0.31189,1.3039,0.97716,1.0813,0.0073864,0.0073864,0.0073864,,,,,
134,1.3246,0.94949,1.0734,0.58624,0.48611,0.51102,0.31247,1.3037,0.97649,1.0812,0.0073666,0.0073666,0.0073666,,,,,
135,1.3261,0.95022,1.0714,0.58462,0.48706,0.5115,0.31252,1.3037,0.97603,1.0813,0.0073468,0.0073468,0.0073468,,,,,
136,1.3397,0.96044,1.0794,0.58607,0.48588,0.5116,0.31277,1.3038,0.97585,1.0813,0.007327,0.007327,0.007327,,,,,
137,1.3184,0.94419,1.0705,0.58728,0.48621,0.51172,0.31294,1.3034,0.97535,1.0812,0.0073072,0.0073072,0.0073072,,,,,
138,1.3253,0.94398,1.0687,0.58601,0.48739,0.51176,0.31301,1.3034,0.97506,1.0811,0.0072874,0.0072874,0.0072874,,,,,
139,1.3307,0.95124,1.0718,0.58354,0.48799,0.51189,0.31317,1.3037,0.9746,1.0811,0.0072676,0.0072676,0.0072676,,,,,
140,1.3205,0.94636,1.0782,0.5849,0.48694,0.51213,0.31316,1.3036,0.9743,1.0808,0.0072478,0.0072478,0.0072478,,,,,
141,1.3206,0.94746,1.0743,0.58764,0.48531,0.51249,0.31352,1.3037,0.97387,1.0808,0.007228,0.007228,0.007228,,,,,
142,1.3219,0.9446,1.071,0.58757,0.48576,0.51224,0.31346,1.3036,0.97365,1.0808,0.0072082,0.0072082,0.0072082,,,,,
143,1.3143,0.94072,1.0654,0.58777,0.48601,0.51226,0.31337,1.3033,0.97318,1.0806,0.0071884,0.0071884,0.0071884,,,,,
144,1.3149,0.93767,1.0645,0.58875,0.48568,0.51223,0.31353,1.3032,0.973,1.0805,0.0071686,0.0071686,0.0071686,,,,,
145,1.3166,0.94354,1.0669,0.58823,0.4871,0.51249,0.31358,1.3031,0.97242,1.0804,0.0071488,0.0071488,0.0071488,,,,,
146,1.3116,0.9296,1.0636,0.58978,0.48553,0.51279,0.31377,1.3028,0.97227,1.0804,0.007129,0.007129,0.007129,,,,,
147,1.3241,0.94062,1.0671,0.59063,0.48476,0.51239,0.31351,1.3029,0.97187,1.0804,0.0071092,0.0071092,0.0071092,,,,,
148,1.3251,0.94204,1.0729,0.59437,0.48281,0.51282,0.31383,1.3025,0.97158,1.0802,0.0070894,0.0070894,0.0070894,,,,,
149,1.3065,0.92203,1.0594,0.59389,0.4822,0.51256,0.31393,1.3024,0.9715,1.0802,0.0070696,0.0070696,0.0070696,,,,,
150,1.3146,0.93714,1.0682,0.59109,0.48382,0.51227,0.31363,1.3021,0.97122,1.0801,0.0070498,0.0070498,0.0070498,,,,,
151,1.3232,0.94098,1.0673,0.59444,0.48193,0.5124,0.31348,1.3021,0.97104,1.08,0.00703,0.00703,0.00703,,,,,
152,1.3171,0.93074,1.0671,0.59479,0.4824,0.51262,0.31332,1.3019,0.97105,1.08,0.0070102,0.0070102,0.0070102,,,,,
153,1.3216,0.9376,1.0667,0.59466,0.48334,0.51304,0.31342,1.3021,0.97078,1.08,0.0069904,0.0069904,0.0069904,,,,,
154,1.3144,0.93343,1.0667,0.59679,0.48224,0.51332,0.31367,1.3021,0.97067,1.0799,0.0069706,0.0069706,0.0069706,,,,,
155,1.321,0.92862,1.0636,0.60197,0.48005,0.51354,0.31385,1.302,0.97055,1.0798,0.0069508,0.0069508,0.0069508,,,,,
156,1.3083,0.92312,1.0597,0.59846,0.48325,0.51368,0.31394,1.3015,0.97019,1.0797,0.006931,0.006931,0.006931,,,,,
157,1.2983,0.91865,1.0655,0.59843,0.48318,0.51384,0.3142,1.3014,0.97006,1.0797,0.0069112,0.0069112,0.0069112,,,,,
158,1.3142,0.92487,1.0699,0.59693,0.48391,0.51415,0.31425,1.3011,0.97002,1.0795,0.0068914,0.0068914,0.0068914,,,,,
159,1.3124,0.92569,1.0674,0.59798,0.4827,0.51426,0.31425,1.3011,0.96968,1.0795,0.0068716,0.0068716,0.0068716,,,,,
160,1.3204,0.92785,1.0608,0.5994,0.48302,0.5144,0.31426,1.301,0.96948,1.0793,0.0068518,0.0068518,0.0068518,,,,,
161,1.3117,0.92921,1.0629,0.59988,0.48292,0.51469,0.31425,1.3007,0.96897,1.0791,0.006832,0.006832,0.006832,,,,,
162,1.3191,0.93485,1.0684,0.60069,0.48282,0.51499,0.31453,1.3005,0.96889,1.079,0.0068122,0.0068122,0.0068122,,,,,
163,1.3142,0.9269,1.0622,0.60009,0.48311,0.51477,0.31466,1.3005,0.9687,1.079,0.0067924,0.0067924,0.0067924,,,,,
164,1.3125,0.9225,1.0618,0.60029,0.4836,0.51516,0.31484,1.3006,0.96874,1.079,0.0067726,0.0067726,0.0067726,,,,,
